R110-27 30-agent reproducible live-PTY test
Started: 2026-07-29T13:38:38Z
Recipes: /tmp/multi-arch-30/recipe/sub
Wrappers: /workspace/dev-branch/mas-engineer/e2e-results/2026-07-29-r11027-reproducible-30agent-live-pty/wrappers
Model:   deepseek-v4-flash

AGENT                               STATUS          TIME   BYTES RC
------------------------------------------------------------------------------------------
code-review-correctness             PASS           20.9s   7196 rc=0
code-review-perf                    PASS           31.2s  10994 rc=0
code-review-readability             PASS           28.3s  11926 rc=0
code-review-style                   PASS           54.5s  10161 rc=0
code-review-lead                    PASS          100.8s  26297 rc=0
security-scan-1-sast                PASS           17.7s   7654 rc=0
security-scan-2-secrets             PASS           14.1s   6766 rc=0
security-scan-3-deps                PASS           24.5s  12470 rc=0
security-scan-4-input               PASS           18.6s  10025 rc=0
security-scan-5-crypto              PASS           23.1s  10574 rc=0
dq-stage-1-profile                  PASS           19.0s   8885 rc=0
dq-stage-2-validate                 PASS           13.6s   5534 rc=0
dq-stage-3-anomalies                PASS           81.8s  53081 rc=0
dq-stage-4-enrich                   PASS           20.0s   8988 rc=0
dq-stage-5-report                   PASS           67.0s  43977 rc=0
perf-eval-cpu                       PASS           15.2s   8135 rc=0
perf-eval-memory                    PASS           29.6s  10892 rc=0
perf-eval-io                        PASS           26.1s  13008 rc=0
perf-eval-concurrency               PASS           14.0s  10534 rc=0
perf-eval-lead                      PASS           72.1s  56496 rc=0
refactor-1-simplify                 PASS           23.3s   9117 rc=0
refactor-2-extract                  PASS           83.8s  38018 rc=0
refactor-3-rename                   PASS           24.6s  15127 rc=0
refactor-4-patterns                 PASS           32.9s  18012 rc=0
refactor-5-decompose                PASS           86.7s  51100 rc=0
doc-gen-1-analyze                   PASS           13.5s   6420 rc=0
doc-gen-2-skeleton                  PASS           18.8s   8818 rc=0
doc-gen-3-examples                  PASS           52.8s  24615 rc=0
doc-gen-4-crosslink                 PASS           37.9s  23171 rc=0
doc-gen-5-render                    PASS           38.2s  27185 rc=0
------------------------------------------------------------------------------------------
Finished: 2026-07-29T13:57:03Z
