R110-70 mas-engineer all-functions live-PTY test
Started: 2026-08-03T12:02:11Z
Recipes: /tmp/mas-engineer-test/mas-engineer/recipe/sub
Wrappers: /tmp/r11070-full-328017/wrappers
Filter:  <none>
First N: 0
Model:   deepseek-v4-flash
Timeout: 60s per recipe

RECIPE                                        STATUS          TIME    BYTES RC
------------------------------------------------------------------------------------------------
agent-guardian                                PASS            2.2s    1145 rc=0
bootstrap                                     PASS            2.3s    1099 rc=0
config-auditor                                PASS            2.3s    1158 rc=0
dashboard-builder                             PASS            2.5s    1200 rc=0
dashboard-collector                           PASS            2.1s    1171 rc=0
dashboard-data-reader                         PASS            2.4s    1281 rc=0
dashboard-director                            PASS            2.0s    1177 rc=0
dashboard-generator                           PASS            2.0s    1139 rc=0
dashboard-refresh                             PASS            2.3s    1129 rc=0
degradation-analyzer                          PASS            2.4s    1190 rc=0
degradation-director                          PASS            2.9s    1216 rc=0
degradation-handler                           PASS            2.4s    1194 rc=0
degradation-planner                           PASS            2.2s    1098 rc=0
degradation-reporter                          PASS            2.5s    1241 rc=0
dev-analyzer                                  PASS            2.6s    1337 rc=0
dev-builder                                   PASS            2.1s    1220 rc=0
dev-director                                  PASS            2.1s    1102 rc=0
dev-observer                                  PASS            2.5s    1134 rc=0
dev-tester                                    PASS            2.2s    1137 rc=0
doc-generator                                 PASS            2.6s    1203 rc=0
doc-writer                                    PASS            2.2s    1220 rc=0
e2e-auto-repair-director                      PASS            2.6s    1211 rc=0
e2e-auto-repair-runner                        PASS            3.2s    1186 rc=0
e2e-auto-repair-validator                     PASS            2.4s    1356 rc=0
e2e-phoenix-fixes-director                    PASS            3.2s    1228 rc=0
e2e-phoenix-fixes-runner                      PASS            2.3s    1307 rc=0
e2e-phoenix-fixes-validator                   PASS            2.3s    1293 rc=0
framework-audit-agent                         PASS            2.7s    1210 rc=0
framework-auditor                             PASS            2.3s    1213 rc=0
framework-finder                              PASS            2.4s    1255 rc=0
framework-harden-agent                        PASS            3.0s    1174 rc=0
framework-hardener                            PASS            3.0s    1234 rc=0
framework-knowledge                           PASS            2.6s    1355 rc=0
framework-scan-agent                          PASS            2.9s    1330 rc=0
framework-scanner-director                    PASS            2.3s    1248 rc=0
framework-scanner                             PASS            2.3s    1139 rc=0
general-improver                              PASS            3.1s    1274 rc=0
generic-init                                  PASS            2.6s    1218 rc=0
git-operator                                  PASS            3.1s    1327 rc=0
goose-admin                                   PASS            2.2s    1173 rc=0
goose-expert                                  PASS            2.7s    1196 rc=0
health-reporter                               PASS            2.7s    1176 rc=0
im-designer                                   PASS            2.6s    1211 rc=0
im-finder                                     PASS            3.1s    1217 rc=0
im-rank                                       PASS            2.2s    1160 rc=0
im-session-reader                             PASS            2.7s    1337 rc=0
im-validator                                  PASS            2.7s    1098 rc=0
intention-parser                              PASS            3.0s    1304 rc=0
interpreter                                   PASS            2.2s    1151 rc=0
json-utility                                  PASS            2.1s    1156 rc=0
mas-controller                                PASS            2.1s    1203 rc=0
master-constitution                           PASS            2.4s    1261 rc=0
migration-helper                              PASS            2.4s    1116 rc=0
monitor-health                                PASS            2.4s    1288 rc=0
monitor-recovery                              PASS            2.4s    1178 rc=0
monitor-runtime                               PASS            2.8s    1300 rc=0
monitor-session                               PASS            2.1s    1259 rc=0
pre-push-validator                            PASS            2.9s    1272 rc=0
prompt-engineer                               PASS            2.1s    1150 rc=0
python-analyzer                               PASS            2.2s    1200 rc=0
python-fixer                                  PASS            2.4s    1237 rc=0
python-repair-director                        PASS            2.1s    1182 rc=0
python-repair                                 PASS            2.2s    1172 rc=0
python-validator                              PASS            3.0s    1234 rc=0
recipe-designer                               PASS            2.3s    1125 rc=0
recipe-manager                                PASS            2.6s    1141 rc=0
recovery-checkpoint                           PASS            2.5s    1167 rc=0
recovery-defib                                PASS            2.7s    1162 rc=0
recovery-immune                               PASS            2.3s    1212 rc=0
recovery-safezone                             PASS            2.4s    1255 rc=0
recovery-timeline                             PASS            2.4s    1226 rc=0
security-cmd-injection-scanner                PASS            2.5s    1228 rc=0
security-deserialize-scanner                  PASS            2.2s    1186 rc=0
security-secrets-scanner                      PASS            2.3s    1239 rc=0
security-sqli-scanner                         PASS            2.3s    1261 rc=0
self-auditor                                  PASS            2.6s    1359 rc=0
session-analyst                               PASS            2.0s    1151 rc=0
signal-generator                              PASS            2.5s    1165 rc=0
summarizer                                    PASS            2.5s    1232 rc=0
system-knowledge                              PASS            2.7s    1354 rc=0
team-packager-builder                         PASS            2.6s    1181 rc=0
team-packager-director                        PASS            2.3s    1240 rc=0
team-packager-validator                       PASS            1.9s    1161 rc=0
team-packager                                 PASS            2.3s    1148 rc=0
test-agent                                    PASS            1.8s    1061 rc=0
test-director                                 PASS            2.3s    1204 rc=0
test-executor                                 PASS            2.2s    1219 rc=0
test-fix-failures-applier                     PASS            2.6s    1288 rc=0
test-fix-failures-designer                    PASS            2.4s    1215 rc=0
test-fix-failures-director                    PASS            2.2s    1203 rc=0
test-fix-failures-finder                      PASS            2.3s    1243 rc=0
test-fix-failures-ranker                      PASS            2.8s    1364 rc=0
test-fix-failures-validator-director          PASS            2.3s    1291 rc=0
test-reporter-analyzer                        PASS            3.4s    1387 rc=0
test-reporter-director                        PASS            2.2s    1233 rc=0
test-reporter-generator                       PASS            2.8s    1263 rc=0
test-reporter                                 PASS            2.4s    1132 rc=0
test-runner                                   PASS            3.1s    1160 rc=0
test-scanner                                  PASS            3.0s    1168 rc=0
test-validator                                PASS            2.5s    1200 rc=0
tff-crossref-validator                        PASS            2.9s    1198 rc=0
tff-rule-validator                            PASS            2.5s    1243 rc=0
tff-syntax-validator                          PASS            3.2s    1162 rc=0
unix-test-runner                              PASS            2.7s    1154 rc=0
verification-runner                           PASS            2.0s    1184 rc=0
web-researcher                                PASS            2.5s    1202 rc=0
workflow-engine                               PASS            2.4s    1301 rc=0
worktree-manager                              PASS            2.6s    1282 rc=0
yaml-editor                                   PASS            3.1s    1162 rc=0
yaml-immune                                   PASS            2.9s    1317 rc=0
------------------------------------------------------------------------------------------------
Finished: 2026-08-03T12:06:45Z
